country_name,year,pollut_environm_tax_mill,total_environm_tax_mill,pollut_environm_tax_mill_filled,total_environm_tax_mill_filled
Lithuania,2007,18.34,507.56,18.34,507.56
Lithuania,2008,20.81,533.52,20.81,533.52
Lithuania,2009,18.11,542.78,18.11,542.78
Lithuania,2010,7.37,512.22,7.37,512.22
Lithuania,2011,16.31,527.68,16.31,527.68
Lithuania,2012,22.88,554.19,22.88,554.19
Lithuania,2013,35.26,603.53,35.26,603.53
Lithuania,2014,40.16,657.39,40.16,657.39
Lithuania,2015,54.21,708.87,54.21,708.87
Lithuania,2016,65.42,776.32,65.42,776.32
Lithuania,2017,61.93,828.3,61.93,828.3
Lithuania,2018,83.54,931.38,83.54,931.38
Lithuania,2019,126.7,1001.72,126.7,1001.72
Lithuania,2020,133.19,1052.68,133.19,1052.68
Lithuania,2021,139.69,1127.5,139.69,1127.5
Lithuania,2022,168.65,1110.24,168.65,1110.24
Lithuania,2023,201.14,1188.66,201.14,1188.66
Luxembourg,1995,0.0,467.97,0.0,467.97
Luxembourg,1996,0.0,472.93,0.0,472.93
Luxembourg,1997,0.0,483.5,0.0,483.5
Luxembourg,1998,0.0,506.34,0.0,506.34
Luxembourg,1999,0.0,557.27,0.0,557.27
Luxembourg,2000,0.0,610.19,0.0,610.19
Luxembourg,2001,0.0,636.04,0.0,636.04
Luxembourg,2002,0.0,663.64,0.0,663.64
Luxembourg,2003,0.0,718.02,0.0,718.02
Luxembourg,2004,0.0,837.82,0.0,837.82
Luxembourg,2005,0.0,891.49,0.0,891.49
Luxembourg,2006,0.0,890.89,0.0,890.89
Luxembourg,2007,0.0,952.71,0.0,952.71
Luxembourg,2008,0.0,985.22,0.0,985.22
Luxembourg,2009,0.0,930.47,0.0,930.47
Luxembourg,2010,4.86,957.48,4.86,957.48
Luxembourg,2011,3.71,1017.65,3.71,1017.65
Luxembourg,2012,8.69,1038.61,8.69,1038.61
Luxembourg,2013,6.19,1007.93,6.19,1007.93
Luxembourg,2014,5.98,979.5,5.98,979.5
Luxembourg,2015,14.73,954.44,14.73,954.44
Luxembourg,2016,13.83,933.13,13.83,933.13
Luxembourg,2017,10.13,952.59,10.13,952.59
Luxembourg,2018,9.24,1016.32,9.24,1016.32
Luxembourg,2019,10.62,1087.4,10.62,1087.4
Luxembourg,2020,5.89,890.4,5.89,890.4
Luxembourg,2021,8.45,1056.97,8.45,1056.97
Luxembourg,2022,9.84,950.25,9.84,950.25
Luxembourg,2023,8.47,1016.39,8.47,1016.39
Malta,1995,0.0,87.6,0.0,87.6
Malta,1996,0.0,88.41,0.0,88.41
Malta,1997,0.0,112.86,0.0,112.86
Malta,1998,0.0,133.57,0.0,133.57
Malta,1999,0.0,148.64,0.0,148.64
Malta,2000,0.0,155.39,0.0,155.39
Malta,2001,0.0,158.1,0.0,158.1
Malta,2002,0.0,150.98,0.0,150.98
Malta,2003,0.0,150.84,0.0,150.84
Malta,2004,0.87,137.89,0.87,137.89
Malta,2005,10.35,157.79,10.35,157.79
Malta,2006,11.87,171.64,11.87,171.64
Malta,2007,14.36,203.26,14.36,203.26
Malta,2008,17.06,199.88,17.06,199.88
Malta,2009,12.9,193.94,12.9,193.94
Malta,2010,10.45,190.62,10.45,190.62
Malta,2011,10.94,211.27,10.94,211.27
Malta,2012,9.87,205.4,9.87,205.4
Malta,2013,12.08,204.84,12.08,204.84
Malta,2014,16.53,240.65,16.53,240.65
Malta,2015,22.09,266.33,22.09,266.33
Malta,2016,19.26,278.92,19.26,278.92
Malta,2017,25.36,303.53,25.36,303.53
Malta,2018,29.28,318.73,29.28,318.73
Malta,2019,32.66,347.82,32.66,347.82
Malta,2020,31.03,295.01,31.03,295.01
Malta,2021,30.07,276.58,30.07,276.58
Malta,2022,31.9,287.35,31.9,287.35
Malta,2023,30.65,315.55,30.65,315.55
Netherlands,1995,1699.83,11183.84,1699.83,11183.84
Netherlands,1996,1670.5,12138.39,1670.5,12138.39
Netherlands,1997,1697.53,12274.48,1697.53,12274.48
Netherlands,1998,1736.43,13190.5,1736.43,13190.5
Netherlands,1999,1848.0,14633.0,1848.0,14633.0
Netherlands,2000,2195.0,15657.0,2195.0,15657.0
Netherlands,2001,2246.0,17128.0,2246.0,17128.0
Netherlands,2002,2355.0,17186.0,2355.0,17186.0
Netherlands,2003,2407.0,18030.0,2407.0,18030.0
Netherlands,2004,2435.0,19334.0,2435.0,19334.0
Netherlands,2005,2563.0,20724.0,2563.0,20724.0
Netherlands,2006,2797.0,22328.0,2797.0,22328.0
Netherlands,2007,2842.0,22236.0,2842.0,22236.0
Netherlands,2008,3047.0,24453.0,3047.0,24453.0
Netherlands,2009,2995.0,23916.0,2995.0,23916.0
Netherlands,2010,3129.0,24622.0,3129.0,24622.0
Netherlands,2011,3161.0,24513.0,3161.0,24513.0
Netherlands,2012,3030.0,23519.0,3030.0,23519.0
Netherlands,2013,2992.0,24093.0,2992.0,24093.0
Netherlands,2014,3207.0,24819.0,3207.0,24819.0
Netherlands,2015,3295.0,25555.0,3295.0,25555.0
Netherlands,2016,3469.0,26485.0,3469.0,26485.0
Netherlands,2017,3505.0,27315.0,3505.0,27315.0
Netherlands,2018,3557.0,28564.0,3557.0,28564.0
Netherlands,2019,3788.0,29950.0,3788.0,29950.0
Netherlands,2020,3863.0,29119.0,3863.0,29119.0
Netherlands,2021,3998.0,30602.0,3998.0,30602.0
Netherlands,2022,4076.0,28850.0,4076.0,28850.0
Netherlands,2023,4412.0,29983.0,4412.0,29983.0
Norway,1995,29.21,4147.87,29.21,4147.87
Norway,1996,31.72,4645.46,31.72,4645.46
Norway,1997,34.42,5145.04,34.42,5145.04
Norway,1998,34.96,4956.0,34.96,4956.0
Norway,1999,122.38,5244.27,122.38,5244.27
Norway,2000,147.17,5740.49,147.17,5740.49
Norway,2001,172.33,6017.47,172.33,6017.47
Norway,2002,196.31,6650.64,196.31,6650.64
Norway,2003,195.54,6368.12,195.54,6368.12
Norway,2004,200.25,6590.32,200.25,6590.32
Norway,2005,208.26,7248.04,208.26,7248.04
Norway,2006,282.96,7915.42,282.96,7915.42
Norway,2007,470.78,8364.75,470.78,8364.75
Norway,2008,387.9,8251.15,387.9,8251.15
Norway,2009,269.37,7328.88,269.37,7328.88
Norway,2010,271.48,8591.38,271.48,8591.38
Norway,2011,263.17,8919.47,263.17,8919.47
Norway,2012,259.26,9262.48,259.26,9262.48
Norway,2013,259.78,9182.5,259.78,9182.5
Norway,2014,267.76,8732.76,267.76,8732.76
Norway,2015,267.39,8169.19,267.39,8169.19
Norway,2016,274.69,8044.15,274.69,8044.15
Norway,2017,279.08,8123.51,279.08,8123.51
Norway,2018,287.57,8109.82,287.57,8109.82
Norway,2019,289.92,7629.5,289.92,7629.5
Norway,2020,294.51,6452.05,294.51,6452.05
Norway,2021,392.59,7394.35,392.59,7394.35
Norway,2022,441.97,7403.34,441.97,7403.34
Norway,2023,452.44,6520.38,452.44,6520.38
Poland,1995,425.48,1937.23,425.48,1937.23
Poland,1996,359.99,2353.68,359.99,2353.68
Poland,1997,337.51,2488.76,337.51,2488.76
Poland,1998,481.04,2914.59,481.04,2914.59
Poland,1999,334.96,3353.6,334.96,3353.6
Poland,2000,385.46,3995.06,385.46,3995.06
Poland,2001,386.43,4596.28,386.43,4596.28
Poland,2002,446.93,5170.84,446.93,5170.84
Poland,2003,342.53,4817.48,342.53,4817.48
Poland,2004,388.8,5634.22,388.8,5634.22
Poland,2005,347.25,6605.77,347.25,6605.77
Poland,2006,546.47,7309.99,546.47,7309.99
Poland,2007,640.11,8614.58,640.11,8614.58
Poland,2008,822.3,10215.83,822.3,10215.83
Poland,2009,715.64,8448.56,715.64,8448.56
Poland,2010,797.81,9831.03,797.81,9831.03
Poland,2011,807.65,10002.18,807.65,10002.18
Poland,2012,687.74,10055.44,687.74,10055.44
Poland,2013,339.73,9503.28,339.73,9503.28
Poland,2014,625.19,10562.1,625.19,10562.1
Poland,2015,725.13,11401.74,725.13,11401.74
Poland,2016,594.98,11556.66,594.98,11556.66
Poland,2017,559.08,12512.1,559.08,12512.1
Poland,2018,538.54,13474.36,538.54,13474.36
Poland,2019,572.65,13545.47,572.65,13545.47
Poland,2020,663.07,13330.41,663.07,13330.41
Poland,2021,522.43,16735.08,522.43,16735.08
Poland,2022,581.08,18324.41,581.08,18324.41
Poland,2023,680.54,19181.2,680.54,19181.2
Portugal,1995,0.02,3047.89,0.02,3047.89
Portugal,1996,0.02,3278.49,0.02,3278.49
Portugal,1997,0.02,3278.39,0.02,3278.39
Portugal,1998,0.01,3699.64,0.01,3699.64
Portugal,1999,0.43,3870.64,0.43,3870.64
Portugal,2000,1.05,3340.57,1.05,3340.57
Portugal,2001,1.03,3841.79,1.03,3841.79
Portugal,2002,1.13,4264.16,1.13,4264.16
Portugal,2003,5.95,4308.84,5.95,4308.84
Portugal,2004,7.59,4487.54,7.59,4487.54
Portugal,2005,8.05,4584.13,8.05,4584.13
Portugal,2006,9.56,4641.33,9.56,4641.33
Portugal,2007,8.86,4819.39,8.86,4819.39
Portugal,2008,14.06,4483.84,14.06,4483.84
Portugal,2009,21.62,4275.67,21.62,4275.67
Portugal,2010,34.77,4361.59,34.77,4361.59
Portugal,2011,36.36,4084.03,36.36,4084.03
Portugal,2012,40.65,3683.38,40.65,3683.38
Portugal,2013,38.47,3734.48,38.47,3734.48
Portugal,2014,38.87,3957.06,38.87,3957.06
Portugal,2015,36.12,4331.22,36.12,4331.22
Portugal,2016,36.03,4839.76,36.03,4839.76
Portugal,2017,37.22,5024.22,37.22,5024.22
Portugal,2018,36.86,5154.66,36.86,5154.66
Portugal,2019,39.92,5443.32,39.92,5443.32
Portugal,2020,34.78,4763.47,34.78,4763.47
Portugal,2021,49.4,5026.06,49.4,5026.06
Portugal,2022,84.73,4647.79,84.73,4647.79
Portugal,2023,102.44,5378.36,102.44,5378.36
Romania,1995,95.79,499.25,95.79,499.25
Romania,1996,100.71,504.59,100.71,504.59
Romania,1997,127.41,876.42,127.41,876.42
Romania,1998,167.05,1129.89,167.05,1129.89
Romania,1999,98.38,1299.97,98.38,1299.97
Romania,2000,136.53,1378.73,136.53,1378.73
Romania,2001,161.63,1065.72,161.63,1065.72
Romania,2002,152.51,1030.73,152.51,1030.73
Romania,2003,132.51,1226.01,132.51,1226.01
Romania,2004,83.76,1435.25,83.76,1435.25
Romania,2005,75.29,1589.63,75.29,1589.63
Romania,2006,80.72,1888.79,80.72,1888.79
Romania,2007,19.85,2562.14,19.85,2562.14
Romania,2008,14.5,2487.18,14.5,2487.18
Romania,2009,7.17,2244.58,7.17,2244.58
Romania,2010,15.24,2650.61,15.24,2650.61
Romania,2011,11.65,2573.54,11.65,2573.54
Romania,2012,13.07,2667.48,13.07,2667.48
Romania,2013,11.11,2957.28,11.11,2957.28
Romania,2014,10.01,3587.37,10.01,3587.37
Romania,2015,8.21,3919.76,8.21,3919.76
Romania,2016,10.47,4085.32,10.47,4085.32
Romania,2017,9.78,3640.19,9.78,3640.19
Romania,2018,9.45,4033.39,9.45,4033.39
Romania,2019,8.85,4731.71,8.85,4731.71
Romania,2020,9.14,4196.21,9.14,4196.21
Romania,2021,10.24,5867.48,10.24,5867.48
Romania,2022,11.42,9847.14,11.42,9847.14
Romania,2023,11.66,7294.16,11.66,7294.16
Slovakia,1995,9.43,374.36,9.43,374.36
Slovakia,1996,9.64,377.48,9.64,377.48
Slovakia,1997,9.83,412.44,9.83,412.44
Slovakia,1998,9.39,407.38,9.39,407.38
Slovakia,1999,8.31,402.95,8.31,402.95
Slovakia,2000,8.61,510.08,8.61,510.08
Slovakia,2001,8.45,479.65,8.45,479.65
Slovakia,2002,26.68,587.98,26.68,587.98
Slovakia,2003,30.42,737.76,30.42,737.76
Slovakia,2004,31.39,870.48,31.39,870.48
Slovakia,2005,35.1,945.3,35.1,945.3
Slovakia,2006,51.59,1046.86,51.59,1046.86
Slovakia,2007,59.22,1201.07,59.22,1201.07
Slovakia,2008,42.25,1363.74,42.25,1363.74
Slovakia,2009,39.82,1264.02,39.82,1264.02
Slovakia,2010,37.28,1419.5,37.28,1419.5
Slovakia,2011,35.37,1726.98,35.37,1726.98
Slovakia,2012,34.42,1743.88,34.42,1743.88
Slovakia,2013,31.94,1872.7,31.94,1872.7
Slovakia,2014,30.91,1932.29,30.91,1932.29
Slovakia,2015,31.48,1997.56,31.48,1997.56
Slovakia,2016,32.13,2019.34,32.13,2019.34
Slovakia,2017,28.59,2149.04,28.59,2149.04
Slovakia,2018,28.59,2226.18,28.59,2226.18
Slovakia,2019,28.7,2361.53,28.7,2361.53
Slovakia,2020,25.91,2294.31,25.91,2294.31
Slovakia,2021,25.81,2382.71,25.81,2382.71
Slovakia,2022,27.22,2700.6,27.22,2700.6
Slovakia,2023,26.46,2456.04,26.46,2456.04
Slovenia,1995,10.8,671.75,10.8,671.75
Slovenia,1996,6.7,723.56,6.7,723.56
Slovenia,1997,7.76,801.31,7.76,801.31
Slovenia,1998,9.55,969.16,9.55,969.16
Slovenia,1999,9.27,853.32,9.27,853.32
Slovenia,2000,13.21,613.52,13.21,613.52
Slovenia,2001,15.75,719.97,15.75,719.97
Slovenia,2002,38.37,785.57,38.37,785.57
Slovenia,2003,66.71,842.41,66.71,842.41
Slovenia,2004,61.65,896.98,61.65,896.98
Slovenia,2005,68.73,912.43,68.73,912.43
Slovenia,2006,58.59,926.52,58.59,926.52
Slovenia,2007,61.69,1030.31,61.69,1030.31
Slovenia,2008,61.96,1110.79,61.96,1110.79
Slovenia,2009,54.37,1298.93,54.37,1298.93
Slovenia,2010,58.42,1406.26,58.42,1406.26
Slovenia,2011,60.19,1366.46,60.19,1366.46
Slovenia,2012,58.25,1436.0,58.25,1436.0
Slovenia,2013,60.09,1543.52,60.09,1543.52
Slovenia,2014,58.89,1581.97,58.89,1581.97
Slovenia,2015,60.83,1694.15,60.83,1694.15
Slovenia,2016,59.7,1770.88,59.7,1770.88
Slovenia,2017,55.27,1800.1,55.27,1800.1
Slovenia,2018,55.52,1791.12,55.52,1791.12
Slovenia,2019,55.68,1819.75,55.68,1819.75
Slovenia,2020,56.8,1574.7,56.8,1574.7
Slovenia,2021,55.14,1693.65,55.14,1693.65
Slovenia,2022,55.43,1662.02,55.43,1662.02
Slovenia,2023,54.61,1791.44,54.61,1791.44
Spain,1995,28.58,9976.01,28.58,9976.01
Spain,1996,37.26,10648.87,37.26,10648.87
Spain,1997,42.13,10655.98,42.13,10655.98
Spain,1998,98.53,12242.27,98.53,12242.27
Spain,1999,120.0,13412.0,120.0,13412.0
Spain,2000,123.0,13791.0,123.0,13791.0
Spain,2001,132.0,14159.0,132.0,14159.0
Spain,2002,151.0,15091.0,151.0,15091.0
Spain,2003,191.0,16025.0,191.0,16025.0
Spain,2004,177.0,16810.0,177.0,16810.0
Spain,2005,175.0,17620.0,175.0,17620.0
Spain,2006,197.0,18371.0,197.0,18371.0
Spain,2007,209.0,19076.0,209.0,19076.0
Spain,2008,237.0,18179.0,237.0,18179.0
Spain,2009,191.0,17335.0,191.0,17335.0
Spain,2010,246.0,17672.0,246.0,17672.0
Spain,2011,259.0,16866.0,259.0,16866.0
Spain,2012,362.0,16325.0,362.0,16325.0
Spain,2013,811.0,19611.0,811.0,19611.0
Spain,2014,721.0,19374.0,721.0,19374.0
Spain,2015,915.0,20868.0,915.0,20868.0
Spain,2016,967.0,20840.0,967.0,20840.0
Spain,2017,1010.0,21434.0,1010.0,21434.0
Spain,2018,1036.0,22158.0,1036.0,22158.0
Spain,2019,1068.0,22117.0,1068.0,22117.0
Spain,2020,1046.0,19697.0,1046.0,19697.0
Spain,2021,1166.0,21310.0,1166.0,21310.0
Spain,2022,1077.0,20665.0,1077.0,20665.0
Spain,2023,2137.0,24640.0,2137.0,24640.0
Sweden,1995,130.73,5292.38,130.73,5292.38
Sweden,1996,178.98,6691.37,178.98,6691.37
Sweden,1997,154.66,6565.79,154.66,6565.79
Sweden,1998,155.23,6770.6,155.23,6770.6
Sweden,1999,158.61,6900.26,158.61,6900.26
Sweden,2000,289.04,7414.27,289.04,7414.27
Sweden,2001,250.78,7081.39,250.78,7081.39
Sweden,2002,251.83,7617.75,251.83,7617.75
Sweden,2003,257.12,8124.22,257.12,8124.22
Sweden,2004,238.26,8404.48,238.26,8404.48
Sweden,2005,210.29,8711.62,210.29,8711.62
Sweden,2006,215.9,8958.23,215.9,8958.23
Sweden,2007,212.75,9167.68,212.75,9167.68
Sweden,2008,179.3,9364.76,179.3,9364.76
Sweden,2009,128.07,8667.12,128.07,8667.12
Sweden,2010,136.41,9977.14,136.41,9977.14
Sweden,2011,143.97,10056.48,143.97,10056.48
Sweden,2012,133.5,10310.66,133.5,10310.66
Sweden,2013,119.29,10257.99,119.29,10257.99
Sweden,2014,120.57,9557.95,120.57,9557.95
Sweden,2015,127.65,9797.19,127.65,9797.19
Sweden,2016,127.58,10358.65,127.58,10358.65
Sweden,2017,192.73,10158.9,192.73,10158.9
Sweden,2018,248.58,9816.93,248.58,9816.93
Sweden,2019,252.24,9779.11,252.24,9779.11
Sweden,2020,286.03,9597.99,286.03,9597.99
Sweden,2021,331.54,10243.83,331.54,10243.83
Sweden,2022,326.45,10651.29,326.45,10651.29
Sweden,2023,289.23,10856.27,289.23,10856.27
Switzerland,1995,,,104.85,5079.9
Switzerland,1996,,,104.85,5079.9
Switzerland,1997,,,104.85,5079.9
Switzerland,1998,,,104.85,5079.9
Switzerland,1999,,,104.85,5079.9
Switzerland,2000,,,104.85,5079.9
Switzerland,2001,,,104.85,5079.9
Switzerland,2002,,,104.85,5079.9
Switzerland,2003,,,104.85,5079.9
Switzerland,2004,,,104.85,5079.9
Switzerland,2005,,,104.85,5079.9
Switzerland,2006,,,104.85,5079.9
Switzerland,2007,,,104.85,5079.9
Switzerland,2008,104.85,5079.9,104.85,5079.9
Switzerland,2009,107.98,5463.57,107.98,5463.57
Switzerland,2010,120.62,6308.85,120.62,6308.85
Switzerland,2011,138.72,6943.45,138.72,6943.45
Switzerland,2012,147.22,7163.1,147.22,7163.1
Switzerland,2013,154.83,7032.37,154.83,7032.37
Switzerland,2014,142.71,7268.44,142.71,7268.44
Switzerland,2015,195.68,8484.09,195.68,8484.09
Switzerland,2016,148.54,8587.09,148.54,8587.09
Switzerland,2017,159.34,8518.01,159.34,8518.01
Switzerland,2018,182.83,8620.47,182.83,8620.47
Switzerland,2019,252.65,9046.56,252.65,9046.56
Switzerland,2020,314.46,9036.74,314.46,9036.74
Switzerland,2021,195.04,9187.76,195.04,9187.76
Switzerland,2022,211.51,9888.9,211.51,9888.9
Switzerland,2023,192.77,9832.04,192.77,9832.04
