country_name,year,recycling_rate,flag,recycling_rate_filled
Sweden,2014,49.3,,49.3
Sweden,2015,47.6,,47.6
Sweden,2016,48.4,,48.4
Sweden,2017,46.8,,46.8
Sweden,2018,45.8,,45.8
Sweden,2019,46.6,,46.6
Sweden,2020,38.3,b,38.3
Sweden,2021,39.5,,39.5
Sweden,2022,39.7,,39.7
Sweden,2023,39.4,,39.4
Slovenia,2000,6.0,,6.0
Slovenia,2001,2.7,,2.7
Slovenia,2002,9.0,b,9.0
Slovenia,2003,12.6,,12.6
Slovenia,2004,20.4,,20.4
Slovenia,2005,18.6,,18.6
Slovenia,2006,15.4,,15.4
Slovenia,2007,21.9,,21.9
Slovenia,2008,18.9,,18.9
Slovenia,2009,19.6,,19.6
Slovenia,2010,22.4,,22.4
Slovenia,2011,35.7,,35.7
Slovenia,2012,42.1,,42.1
Slovenia,2013,34.8,b,34.8
Slovenia,2014,36.0,,36.0
Slovenia,2015,54.1,be,54.1
Slovenia,2016,55.5,e,55.5
Slovenia,2017,57.8,e,57.8
Slovenia,2018,58.9,,58.9
Slovenia,2019,59.2,,59.2
Slovenia,2020,59.3,,59.3
Slovenia,2021,60.8,,60.8
Slovenia,2022,62.6,,62.6
Slovenia,2023,59.8,,59.8
Slovakia,2000,5.2,,5.2
Slovakia,2001,5.4,,5.4
Slovakia,2002,4.8,b,4.8
Slovakia,2003,5.6,,5.6
Slovakia,2004,6.1,,6.1
Slovakia,2005,2.0,b,2.0
Slovakia,2006,4.0,,4.0
Slovakia,2007,6.6,,6.6
Slovakia,2008,7.4,,7.4
Slovakia,2009,8.3,,8.3
Slovakia,2010,9.1,,9.1
Slovakia,2011,10.9,,10.9
Slovakia,2012,13.4,,13.4
Slovakia,2013,10.8,,10.8
Slovakia,2014,10.4,,10.4
Slovakia,2015,14.9,,14.9
Slovakia,2016,23.0,,23.0
Slovakia,2017,29.8,,29.8
Slovakia,2018,36.3,,36.3
Slovakia,2019,38.5,,38.5
Slovakia,2020,45.3,,45.3
Slovakia,2021,48.9,,48.9
Slovakia,2022,49.5,,49.5
Slovakia,2023,50.3,,50.3
Türkiye,2000,,,9.2
Türkiye,2001,,,9.2
Türkiye,2002,,,9.2
Türkiye,2003,,,9.2
Türkiye,2004,,,9.2
Türkiye,2005,,,9.2
Türkiye,2006,,,9.2
Türkiye,2007,,,9.2
Türkiye,2008,,,9.2
Türkiye,2009,,,9.2
Türkiye,2010,,,9.2
Türkiye,2011,,,9.2
Türkiye,2012,,,9.2
Türkiye,2013,,,9.2
Türkiye,2014,,,9.2
Türkiye,2015,,,9.2
Türkiye,2016,9.2,be,9.2
Türkiye,2017,9.2,e,9.2
Türkiye,2018,11.5,e,11.5
Türkiye,2019,11.5,e,11.5
Türkiye,2020,12.3,,12.3
Türkiye,2021,12.3,e,12.3
Türkiye,2022,,,12.3
Türkiye,2023,,,12.3
Kosovo*,2000,,,0.0
Kosovo*,2001,,,0.0
Kosovo*,2002,,,0.0
Kosovo*,2003,,,0.0
Kosovo*,2004,,,0.0
Kosovo*,2005,,,0.0
Kosovo*,2006,,,0.0
Kosovo*,2007,,,0.0
Kosovo*,2008,,,0.0
Kosovo*,2009,,,0.0
Kosovo*,2010,,,0.0
Kosovo*,2011,,,0.0
Kosovo*,2012,,,0.0
Kosovo*,2013,,,0.0
Kosovo*,2014,,,0.0
Kosovo*,2015,,,0.0
Kosovo*,2016,,,0.0
Kosovo*,2017,,,0.0
Kosovo*,2018,,,0.0
Kosovo*,2019,,,0.0
Kosovo*,2020,0.0,,0.0
Kosovo*,2021,2.5,,2.5
Kosovo*,2022,2.6,,2.6
Kosovo*,2023,3.5,,3.5
